formation_month,holding_month,decile,n,ew_return,ew_market_return,ew_market_adjusted,vw_return,vw_available,effective_bins
2024-06,2024-07,4,483,0.007996230130234783,0.005650707126901874,0.002345523003332909,0.008328588393045148,True,10
2024-06,2024-07,5,482,0.0006270815697939053,0.005650707126901874,-0.005023625557107969,-0.011103040174632125,True,10
2024-06,2024-07,6,483,0.00786597541447473,0.005650707126901874,0.0022152682875728556,-0.011007126836259994,True,10
2024-06,2024-07,7,482,0.003363558101244721,0.005650707126901874,-0.002287149025657153,0.014239150396232764,True,10
2024-06,2024-07,8,482,0.01940400721800267,0.005650707126901874,0.013753300091100795,,False,10
2024-06,2024-07,9,482,0.0022151204454049366,0.005650707126901874,-0.0034355866814969375,-0.00807201836427446,True,10
2024-06,2024-07,10,483,0.013238434650450671,0.005650707126901874,0.007587727523548797,-0.016971890242025053,True,10
2024-07,2024-08,1,484,-0.054669087539980364,-0.03756905989015464,-0.017100027649825725,-0.07257743717375259,True,10
2024-07,2024-08,2,486,-0.04652342560536545,-0.03756905989015464,-0.008954365715210813,-0.038333811830578955,True,10
2024-07,2024-08,3,486,-0.04212466269944725,-0.03756905989015464,-0.004555602809292611,,False,10
2024-07,2024-08,4,486,-0.0430853853540991,-0.03756905989015464,-0.005516325463944462,-0.0320369989362301,True,10
2024-07,2024-08,5,486,-0.03043465475409919,-0.03756905989015464,0.007134405136055448,-0.013812947910733554,True,10
2024-07,2024-08,6,486,-0.035741078784948595,-0.03756905989015464,0.0018279811052060446,-0.03771926630773064,True,10
2024-07,2024-08,7,486,-0.03545201846793594,-0.03756905989015464,0.0021170414222186976,-0.029455682074848864,True,10
2024-07,2024-08,8,486,-0.03681651931322194,-0.03756905989015464,0.000752540576932699,-0.040139284651161164,True,10
2024-07,2024-08,9,486,-0.0248151746630594,-0.03756905989015464,0.012753885227095238,-0.034018233067173116,True,10
2024-07,2024-08,10,485,-0.026075312517593045,-0.03756905989015464,0.011493747372561595,-0.03727819503929752,True,10
2024-08,2024-09,1,488,0.26544829501205364,0.23399495884382862,0.031453336168225016,0.2645722950756199,True,10
2024-08,2024-09,2,488,0.23862514124735362,0.23399495884382862,0.004630182403525002,0.2265968892557721,True,10
2024-08,2024-09,3,488,0.23081987161150733,0.23399495884382862,-0.003175087232321294,0.22154658076330003,True,10
2024-08,2024-09,4,488,0.24565891677954735,0.23399495884382862,0.011663957935718727,0.21238941760459004,True,10
2024-08,2024-09,5,488,0.2347065064348603,0.23399495884382862,0.0007115475910316749,,False,10
2024-08,2024-09,6,488,0.22235850368757726,0.23399495884382862,-0.011636455156251363,0.16845898532902429,True,10
2024-08,2024-09,7,488,0.22779920667688733,0.23399495884382862,-0.006195752166941293,0.18086550635538037,True,10
2024-08,2024-09,8,488,0.22402347766515335,0.23399495884382862,-0.009971481178675273,0.20004880461826588,True,10
2024-08,2024-09,9,488,0.22524177430225834,0.23399495884382862,-0.008753184541570286,0.21387024858087375,True,10
2024-08,2024-09,10,488,0.22526789502108777,0.23399495884382862,-0.008727063822740855,0.22528856260340244,True,10
2024-09,2024-10,1,489,0.1437278863064098,0.06995827287646464,0.07376961342994517,0.02057490473072181,True,10
2024-09,2024-10,2,489,0.06928401869901919,0.06995827287646464,-0.0006742541774454464,-0.010441023278633962,True,10
2024-09,2024-10,3,489,0.05686879742168474,0.06995827287646464,-0.013089475454779897,-0.023713838900269953,True,10
2024-09,2024-10,4,490,0.053980814380656036,0.06995827287646464,-0.015977458495808602,0.005444845374267781,True,10
2024-09,2024-10,5,489,0.05325624280572798,0.06995827287646464,-0.01670203007073666,,False,10
2024-09,2024-10,6,489,0.06378918016174716,0.06995827287646464,-0.006169092714717481,-0.005425648471298115,True,10
2024-09,2024-10,7,490,0.0560633165331302,0.06995827287646464,-0.013894956343334437,0.023944802714755093,True,10
2024-09,2024-10,8,489,0.06358846779331824,0.06995827287646464,-0.006369805083146399,-0.01412113870721303,True,10
2024-09,2024-10,9,489,0.056995142617185426,0.06995827287646464,-0.012963130259279212,0.007521971682867964,True,10
2024-09,2024-10,10,490,0.08206519230223668,0.06995827287646464,0.012106919425772036,0.021763893993785317,True,10
2024-10,2024-11,1,490,0.023890380002015252,0.04591820368637845,-0.0220278236843632,0.011155675850870433,True,10
2024-10,2024-11,2,490,0.023514900182324106,0.04591820368637845,-0.022403303504054346,0.009289894440886718,True,10
2024-10,2024-11,3,490,0.050907313116242296,0.04591820368637845,0.004989109429863844,0.009382771056566496,True,10
2024-10,2024-11,4,490,0.06023544250192351,0.04591820368637845,0.014317238815545058,0.013989813731601134,True,10
2024-10,2024-11,5,490,0.0548311632176866,0.04591820368637845,0.008912959531308148,0.014967685788102163,True,10
2024-10,2024-11,6,490,0.05501143817811509,0.04591820368637845,0.009093234491736636,0.018732554931350204,True,10
2024-10,2024-11,7,490,0.056430279329741005,0.04591820368637845,0.010512075643362553,,False,10
2024-10,2024-11,8,490,0.046627835714331364,0.04591820368637845,0.0007096320279529125,0.004005619938005461,True,10
2024-10,2024-11,9,490,0.05455091965940683,0.04591820368637845,0.00863271597302838,0.03319071293188262,True,10
2024-10,2024-11,10,491,0.03320830353373857,0.04591820368637845,-0.012709900152639883,-0.003015609433790656,True,10
2024-11,2024-12,1,490,-0.08724363423967392,-0.04397247739833716,-0.04327115684133676,-0.09218669580050944,True,10
2024-11,2024-12,2,491,-0.049695174848833304,-0.04397247739833716,-0.005722697450496146,-0.029265704088682613,True,10
2024-11,2024-12,3,491,-0.04463627028714843,-0.04397247739833716,-0.000663792888811271,-0.022111407781960187,True,10
2024-11,2024-12,4,490,-0.03146409298141045,-0.04397247739833716,0.012508384416926706,0.014825842330856247,True,10
2024-11,2024-12,5,491,-0.030547667518464276,-0.04397247739833716,0.013424809879872882,,False,10
2024-11,2024-12,6,491,-0.027438400280533157,-0.04397247739833716,0.016534077117804,0.00841843066728005,True,10
2024-11,2024-12,7,490,-0.028307753514486403,-0.04397247739833716,0.015664723883850755,0.003109697730454079,True,10
2024-11,2024-12,8,491,-0.03362928707648457,-0.04397247739833716,0.010343190321852588,-0.0120964701164775,True,10
2024-11,2024-12,9,491,-0.0452259541200612,-0.04397247739833716,-0.001253476721724045,-0.008303111417946535,True,10
2024-11,2024-12,10,491,-0.06156728870597153,-0.04397247739833716,-0.01759481130763437,-0.04359717188365964,True,10
2024-12,2025-01,1,491,-0.027773255655838266,-0.015737253767669955,-0.01203600188816831,-0.03696851495388411,True,10
2024-12,2025-01,2,492,-0.021988599021425297,-0.015737253767669955,-0.0062513452537553416,-0.020926765010165434,True,10
2024-12,2025-01,3,492,-0.018547801498226962,-0.015737253767669955,-0.0028105477305570073,,False,10
2024-12,2025-01,4,492,-0.01720675912760223,-0.015737253767669955,-0.0014695053599322744,-0.025240612674397873,True,10
2024-12,2025-01,5,492,-0.011539968526601949,-0.015737253767669955,0.004197285241068006,-0.013526468687854575,True,10
2024-12,2025-01,6,492,-0.008924502484484589,-0.015737253767669955,0.006812751283185366,-0.024631506829400556,True,10
2024-12,2025-01,7,492,-0.019462152899970966,-0.015737253767669955,-0.0037248991323010107,-0.026461878859327548,True,10
2024-12,2025-01,8,492,-0.013857017363174785,-0.015737253767669955,0.0018802364044951704,-0.026217027078233125,True,10
2024-12,2025-01,9,492,-0.007210188817525947,-0.015737253767669955,0.008527064950144008,-0.015033617504262697,True,10
2024-12,2025-01,10,492,-0.010886755700320414,-0.015737253767669955,0.004850498067349541,-0.03527109427065759,True,10
2025-01,2025-02,1,492,0.11522203047749138,0.07691093455617175,0.038311095921319635,0.0856012962342591,True,10
2025-01,2025-02,2,493,0.08524951075725817,0.07691093455617175,0.008338576201086426,,False,10
2025-01,2025-02,3,492,0.08230967446313188,0.07691093455617175,0.005398739906960132,0.05050045900447406,True,10
2025-01,2025-02,4,493,0.059212824302756546,0.07691093455617175,-0.0176981102534152,0.04144570423646295,True,10
2025-01,2025-02,5,491,0.07569246622935771,0.07691093455617175,-0.0012184683268140345,0.026959060501191366,True,10
2025-01,2025-02,6,493,0.05269028774245816,0.07691093455617175,-0.024220646813713588,0.026155935781841326,True,10
2025-01,2025-02,7,492,0.05809602738649343,0.07691093455617175,-0.01881490716967832,0.017150249201912122,True,10
2025-01,2025-02,8,493,0.06611738590997988,0.07691093455617175,-0.010793548646191864,0.02212522515983628,True,10
2025-01,2025-02,9,492,0.07505586658726104,0.07691093455617175,-0.0018550679689107036,0.022616267555655822,True,10
2025-01,2025-02,10,493,0.09950506262649496,0.07691093455617175,0.02259412807032321,0.07922009986403061,True,10
2025-02,2025-03,1,493,-0.038379525196417866,0.0009768869996926673,-0.03935641219611053,-0.031018614853895225,True,10
2025-02,2025-03,2,493,-0.006469785472896006,0.0009768869996926673,-0.007446672472588673,,False,10
2025-02,2025-03,3,493,0.0032237500086508427,0.0009768869996926673,0.0022468630089581753,0.006761400016506662,True,10
2025-02,2025-03,4,493,0.010826834321880587,0.0009768869996926673,0.00984994732218792,0.003802803536408977,True,10
2025-02,2025-03,5,493,0.012435583115765305,0.0009768869996926673,0.011458696116072638,0.011611624093301038,True,10
2025-02,2025-03,6,493,0.014405774411812795,0.0009768869996926673,0.013428887412120128,0.015431252944178627,True,10
2025-02,2025-03,7,492,0.013621755789355105,0.0009768869996926673,0.012644868789662438,0.010206502919300453,True,10
2025-02,2025-03,8,493,0.01233189506917805,0.0009768869996926673,0.011355008069485382,0.01100794938418909,True,10
2025-02,2025-03,9,493,0.0073602539166473056,0.0009768869996926673,0.006383366916954639,-0.016569444211625334,True,10
2025-02,2025-03,10,494,-0.019520440416935264,0.0009768869996926673,-0.020497327416627933,-0.0443290541406453,True,10
2025-03,2025-04,1,493,-0.043474352329217376,-0.024960050606787233,-0.018514301722430144,-0.04812008410113144,True,10
2025-03,2025-04,2,494,-0.032360756791121055,-0.024960050606787233,-0.0074007061843338225,,False,10
2025-03,2025-04,3,493,-0.03409465207950114,-0.024960050606787233,-0.009134601472713905,-0.03543725921940138,True,10
2025-03,2025-04,4,494,-0.027866500502719504,-0.024960050606787233,-0.0029064498959322713,-0.05404585438700645,True,10
2025-03,2025-04,5,493,-0.028619106614245205,-0.024960050606787233,-0.0036590560074579725,-0.03933732621229449,True,10
2025-03,2025-04,6,494,-0.02346532146985823,-0.024960050606787233,0.001494729136929003,-0.026066066530172734,True,10
