formation_month,holding_month,decile,n,below_30
2014-12,2015-01,5,230,False
2014-12,2015-01,6,230,False
2014-12,2015-01,7,230,False
2014-12,2015-01,8,230,False
2014-12,2015-01,9,230,False
2014-12,2015-01,10,231,False
2015-01,2015-02,1,231,False
2015-01,2015-02,2,232,False
2015-01,2015-02,3,232,False
2015-01,2015-02,4,232,False
2015-01,2015-02,5,232,False
2015-01,2015-02,6,232,False
2015-01,2015-02,7,232,False
2015-01,2015-02,8,232,False
2015-01,2015-02,9,232,False
2015-01,2015-02,10,232,False
2015-02,2015-03,1,229,False
2015-02,2015-03,2,229,False
2015-02,2015-03,3,229,False
2015-02,2015-03,4,229,False
2015-02,2015-03,5,230,False
2015-02,2015-03,6,229,False
2015-02,2015-03,7,229,False
2015-02,2015-03,8,229,False
2015-02,2015-03,9,229,False
2015-02,2015-03,10,230,False
2015-03,2015-04,1,231,False
2015-03,2015-04,2,232,False
2015-03,2015-04,3,232,False
2015-03,2015-04,4,231,False
2015-03,2015-04,5,232,False
2015-03,2015-04,6,232,False
2015-03,2015-04,7,231,False
2015-03,2015-04,8,232,False
2015-03,2015-04,9,232,False
2015-03,2015-04,10,232,False
2015-04,2015-05,1,232,False
2015-04,2015-05,2,232,False
2015-04,2015-05,3,232,False
2015-04,2015-05,4,232,False
2015-04,2015-05,5,232,False
2015-04,2015-05,6,232,False
2015-04,2015-05,7,232,False
2015-04,2015-05,8,232,False
2015-04,2015-05,9,232,False
2015-04,2015-05,10,232,False
2015-05,2015-06,1,227,False
2015-05,2015-06,2,228,False
2015-05,2015-06,3,228,False
2015-05,2015-06,4,228,False
2015-05,2015-06,5,228,False
2015-05,2015-06,6,228,False
2015-05,2015-06,7,228,False
2015-05,2015-06,8,228,False
2015-05,2015-06,9,228,False
2015-05,2015-06,10,228,False
2015-06,2015-07,1,225,False
2015-06,2015-07,2,226,False
2015-06,2015-07,3,226,False
2015-06,2015-07,4,226,False
2015-06,2015-07,5,226,False
2015-06,2015-07,6,225,False
2015-06,2015-07,7,226,False
2015-06,2015-07,8,226,False
2015-06,2015-07,9,226,False
2015-06,2015-07,10,226,False
2015-07,2015-08,1,218,False
2015-07,2015-08,2,219,False
2015-07,2015-08,3,218,False
2015-07,2015-08,4,219,False
2015-07,2015-08,5,219,False
2015-07,2015-08,6,218,False
2015-07,2015-08,7,219,False
2015-07,2015-08,8,218,False
2015-07,2015-08,9,219,False
2015-07,2015-08,10,218,False
2015-08,2015-09,1,215,False
2015-08,2015-09,2,215,False
2015-08,2015-09,3,215,False
2015-08,2015-09,4,216,False
2015-08,2015-09,5,215,False
2015-08,2015-09,6,215,False
2015-08,2015-09,7,216,False
2015-08,2015-09,8,215,False
2015-08,2015-09,9,215,False
2015-08,2015-09,10,216,False
2015-09,2015-10,1,216,False
2015-09,2015-10,2,216,False
2015-09,2015-10,3,216,False
2015-09,2015-10,4,216,False
2015-09,2015-10,5,217,False
2015-09,2015-10,6,216,False
2015-09,2015-10,7,216,False
2015-09,2015-10,8,216,False
2015-09,2015-10,9,216,False
2015-09,2015-10,10,217,False
2015-10,2015-11,1,222,False
2015-10,2015-11,2,222,False
2015-10,2015-11,3,222,False
2015-10,2015-11,4,222,False
2015-10,2015-11,5,223,False
2015-10,2015-11,6,222,False
2015-10,2015-11,7,222,False
2015-10,2015-11,8,222,False
2015-10,2015-11,9,222,False
2015-10,2015-11,10,223,False
2015-11,2015-12,1,230,False
2015-11,2015-12,2,230,False
2015-11,2015-12,3,230,False
2015-11,2015-12,4,230,False
2015-11,2015-12,5,230,False
2015-11,2015-12,6,230,False
2015-11,2015-12,7,230,False
2015-11,2015-12,8,230,False
2015-11,2015-12,9,230,False
2015-11,2015-12,10,231,False
2015-12,2016-01,1,238,False
2015-12,2016-01,2,238,False
2015-12,2016-01,3,238,False
2015-12,2016-01,4,238,False
2015-12,2016-01,5,238,False
2015-12,2016-01,6,238,False
2015-12,2016-01,7,238,False
2015-12,2016-01,8,238,False
2015-12,2016-01,9,238,False
2015-12,2016-01,10,237,False
2016-01,2016-02,1,240,False
2016-01,2016-02,2,240,False
2016-01,2016-02,3,241,False
2016-01,2016-02,4,240,False
2016-01,2016-02,5,241,False
2016-01,2016-02,6,240,False
2016-01,2016-02,7,240,False
2016-01,2016-02,8,241,False
2016-01,2016-02,9,240,False
2016-01,2016-02,10,241,False
2016-02,2016-03,1,241,False
2016-02,2016-03,2,241,False
2016-02,2016-03,3,242,False
2016-02,2016-03,4,241,False
2016-02,2016-03,5,242,False
2016-02,2016-03,6,241,False
2016-02,2016-03,7,241,False
2016-02,2016-03,8,242,False
2016-02,2016-03,9,241,False
2016-02,2016-03,10,242,False
2016-03,2016-04,1,245,False
2016-03,2016-04,2,245,False
2016-03,2016-04,3,245,False
2016-03,2016-04,4,246,False
2016-03,2016-04,5,245,False
2016-03,2016-04,6,245,False
2016-03,2016-04,7,246,False
2016-03,2016-04,8,245,False
2016-03,2016-04,9,245,False
2016-03,2016-04,10,246,False
2016-04,2016-05,1,247,False
2016-04,2016-05,2,247,False
2016-04,2016-05,3,247,False
2016-04,2016-05,4,247,False
2016-04,2016-05,5,247,False
2016-04,2016-05,6,247,False
2016-04,2016-05,7,247,False
2016-04,2016-05,8,247,False
2016-04,2016-05,9,247,False
2016-04,2016-05,10,248,False
2016-05,2016-06,1,247,False
2016-05,2016-06,2,248,False
2016-05,2016-06,3,247,False
2016-05,2016-06,4,248,False
2016-05,2016-06,5,248,False
2016-05,2016-06,6,247,False
2016-05,2016-06,7,248,False
2016-05,2016-06,8,247,False
2016-05,2016-06,9,248,False
2016-05,2016-06,10,247,False
2016-06,2016-07,1,252,False
2016-06,2016-07,2,252,False
2016-06,2016-07,3,253,False
2016-06,2016-07,4,252,False
2016-06,2016-07,5,253,False
2016-06,2016-07,6,252,False
2016-06,2016-07,7,252,False
2016-06,2016-07,8,253,False
2016-06,2016-07,9,252,False
2016-06,2016-07,10,253,False
2016-07,2016-08,1,255,False
2016-07,2016-08,2,256,False
2016-07,2016-08,3,255,False
2016-07,2016-08,4,256,False
2016-07,2016-08,5,255,False
2016-07,2016-08,6,256,False
2016-07,2016-08,7,255,False
2016-07,2016-08,8,256,False
2016-07,2016-08,9,255,False
2016-07,2016-08,10,256,False
2016-08,2016-09,1,256,False
2016-08,2016-09,2,257,False
2016-08,2016-09,3,257,False
2016-08,2016-09,4,256,False
2016-08,2016-09,5,257,False
2016-08,2016-09,6,257,False
2016-08,2016-09,7,256,False
2016-08,2016-09,8,257,False
2016-08,2016-09,9,257,False
2016-08,2016-09,10,257,False
2016-09,2016-10,1,258,False
2016-09,2016-10,2,258,False
2016-09,2016-10,3,258,False
2016-09,2016-10,4,258,False
2016-09,2016-10,5,258,False
2016-09,2016-10,6,258,False
2016-09,2016-10,7,258,False
2016-09,2016-10,8,258,False
2016-09,2016-10,9,258,False
2016-09,2016-10,10,259,False
2016-10,2016-11,1,257,False
2016-10,2016-11,2,258,False
2016-10,2016-11,3,257,False
2016-10,2016-11,4,258,False
2016-10,2016-11,5,258,False
2016-10,2016-11,6,257,False
2016-10,2016-11,7,258,False
2016-10,2016-11,8,257,False
2016-10,2016-11,9,258,False
2016-10,2016-11,10,258,False
2016-11,2016-12,1,260,False
2016-11,2016-12,2,260,False
2016-11,2016-12,3,261,False
2016-11,2016-12,4,260,False
2016-11,2016-12,5,261,False
2016-11,2016-12,6,260,False
2016-11,2016-12,7,260,False
2016-11,2016-12,8,261,False
2016-11,2016-12,9,260,False
2016-11,2016-12,10,261,False
2016-12,2017-01,1,262,False
2016-12,2017-01,2,262,False
2016-12,2017-01,3,263,False
2016-12,2017-01,4,262,False
2016-12,2017-01,5,263,False
2016-12,2017-01,6,262,False
2016-12,2017-01,7,262,False
2016-12,2017-01,8,263,False
2016-12,2017-01,9,262,False
2016-12,2017-01,10,263,False
2017-01,2017-02,1,262,False
2017-01,2017-02,2,262,False
2017-01,2017-02,3,262,False
2017-01,2017-02,4,262,False
2017-01,2017-02,5,262,False
2017-01,2017-02,6,262,False
2017-01,2017-02,7,262,False
2017-01,2017-02,8,262,False
2017-01,2017-02,9,262,False
2017-01,2017-02,10,263,False
2017-02,2017-03,1,261,False
2017-02,2017-03,2,261,False
2017-02,2017-03,3,261,False
2017-02,2017-03,4,261,False
2017-02,2017-03,5,262,False
2017-02,2017-03,6,261,False
2017-02,2017-03,7,261,False
2017-02,2017-03,8,261,False
2017-02,2017-03,9,261,False
2017-02,2017-03,10,262,False
2017-03,2017-04,1,263,False
2017-03,2017-04,2,264,False
2017-03,2017-04,3,264,False
