month,decile,stocks,overlap_with_prior_month,one_way_turnover
2011-01,4,154,10,0.935064935064935
2011-02,4,157,15,0.9044585987261147
2011-03,4,160,18,0.8875
2011-04,4,163,21,0.8711656441717791
2011-05,4,165,15,0.9090909090909091
2011-06,4,169,20,0.8816568047337279
2011-07,4,171,12,0.9298245614035088
2011-08,4,175,16,0.9085714285714286
2011-09,4,178,16,0.9101123595505618
2011-10,4,180,21,0.8833333333333333
2011-11,4,183,15,0.9180327868852459
2011-12,4,186,21,0.8870967741935484
2012-01,4,190,16,0.9157894736842105
2012-02,4,193,19,0.9015544041450777
2012-03,4,197,21,0.8934010152284264
2012-04,4,197,17,0.9137055837563451
2012-05,4,201,18,0.9104477611940298
2012-06,4,205,20,0.9024390243902439
2012-07,4,207,18,0.9130434782608696
2012-08,4,212,27,0.8726415094339622
2012-09,4,214,23,0.8925233644859814
2012-10,4,216,20,0.9074074074074074
2012-11,4,218,21,0.9036697247706422
2012-12,4,220,32,0.8545454545454545
2013-01,4,220,19,0.9136363636363636
2013-02,4,223,39,0.8251121076233183
2013-03,4,226,27,0.8805309734513275
2013-04,4,227,26,0.8854625550660793
2013-05,4,230,31,0.8652173913043478
2013-06,4,231,24,0.8961038961038961
2013-07,4,234,34,0.8547008547008547
2013-08,4,236,30,0.8728813559322034
2013-09,4,235,29,0.8765957446808511
2013-10,4,236,30,0.8728813559322034
2013-11,4,236,34,0.8559322033898304
2013-12,4,236,29,0.8771186440677966
2014-01,4,235,30,0.8723404255319149
2014-02,4,234,24,0.8974358974358975
2014-03,4,235,37,0.8425531914893617
2014-04,4,233,31,0.8669527896995708
2014-05,4,229,25,0.8908296943231441
2014-06,4,231,19,0.9177489177489178
2014-07,4,231,24,0.8961038961038961
2014-08,4,230,25,0.8913043478260869
2014-09,4,232,23,0.9008620689655172
2014-10,4,228,26,0.8859649122807017
2014-11,4,228,23,0.8991228070175439
2014-12,4,230,33,0.8565217391304347
2015-01,4,232,28,0.8793103448275862
2015-02,4,229,26,0.8864628820960698
2015-03,4,231,26,0.8874458874458875
