model,formation_month,decile,stocks,overlap,one_way_turnover
lightgbm,2024-12,10,492,210,0.5731707317073171
lightgbm,2025-01,10,493,237,0.5192697768762677
lightgbm,2025-02,10,493,247,0.4989858012170385
lightgbm,2025-03,10,494,247,0.5
lightgbm,2025-04,10,494,203,0.5890688259109311
lightgbm,2025-05,10,487,203,0.5831622176591376
lightgbm,2025-06,10,489,244,0.5010224948875255
lightgbm,2025-07,10,490,245,0.5
lightgbm,2025-08,10,490,221,0.5489795918367346
lightgbm,2025-09,10,491,212,0.5682281059063137
lightgbm,2025-10,10,491,215,0.5621181262729125
lightgbm,2025-11,10,491,227,0.5376782077393075
lightgbm,2025-12,10,493,238,0.5172413793103448
lightgbm,2026-01,10,493,232,0.5294117647058824
lightgbm,2026-02,10,493,229,0.5354969574036511
lightgbm,2026-03,10,494,228,0.5384615384615384
lightgbm,2026-04,10,495,232,0.5313131313131313
lightgbm,2026-05,10,488,196,0.5983606557377049
lightgbm,2026-06,10,492,205,0.5833333333333333
ridge,2013-02,1,221,73,0.6696832579185521
ridge,2013-03,1,224,78,0.6517857142857143
ridge,2013-04,1,226,92,0.5929203539823009
ridge,2013-05,1,230,99,0.5695652173913044
ridge,2013-06,1,230,87,0.6217391304347826
ridge,2013-07,1,233,120,0.4849785407725322
ridge,2013-08,1,234,106,0.5470085470085471
ridge,2013-09,1,234,104,0.5555555555555556
ridge,2013-10,1,235,93,0.6042553191489362
ridge,2013-11,1,234,100,0.5726495726495726
ridge,2013-12,1,235,92,0.6085106382978723
ridge,2014-01,1,235,109,0.5361702127659574
ridge,2014-02,1,232,105,0.5474137931034483
ridge,2014-03,1,234,119,0.4914529914529915
ridge,2014-04,1,232,128,0.4482758620689655
ridge,2014-05,1,228,128,0.4385964912280702
ridge,2014-06,1,229,124,0.4585152838427947
ridge,2014-07,1,229,112,0.5109170305676856
ridge,2014-08,1,229,89,0.611353711790393
ridge,2014-09,1,229,107,0.5327510917030568
ridge,2014-10,1,226,106,0.5309734513274336
ridge,2014-11,1,226,113,0.5
ridge,2014-12,1,228,128,0.4385964912280702
ridge,2015-01,1,230,97,0.5782608695652174
ridge,2015-02,1,228,122,0.4649122807017544
ridge,2015-03,1,229,121,0.47161572052401746
ridge,2015-04,1,228,114,0.5
ridge,2015-05,1,223,120,0.4618834080717489
ridge,2015-06,1,221,95,0.5701357466063348
ridge,2015-07,1,212,99,0.5330188679245282
ridge,2015-08,1,213,87,0.5915492957746479
ridge,2015-09,1,213,88,0.5868544600938967
ridge,2015-10,1,219,111,0.4931506849315068
ridge,2015-11,1,227,102,0.5506607929515419
ridge,2015-12,1,236,121,0.4872881355932204
ridge,2016-01,1,239,123,0.4853556485355649
ridge,2016-02,1,239,124,0.4811715481171548
ridge,2016-03,1,244,116,0.5245901639344263
ridge,2016-04,1,245,116,0.5265306122448979
ridge,2016-05,1,246,128,0.4796747967479674
ridge,2016-06,1,250,123,0.508
ridge,2016-07,1,254,111,0.562992125984252
ridge,2016-08,1,256,126,0.5078125
ridge,2016-09,1,257,126,0.5097276264591439
ridge,2016-10,1,256,133,0.48046875
ridge,2016-11,1,260,132,0.49230769230769234
ridge,2016-12,1,261,130,0.5019157088122606
ridge,2017-01,1,261,138,0.47126436781609193
ridge,2017-02,1,260,139,0.4653846153846154
ridge,2017-03,1,263,134,0.49049429657794674
ridge,2017-04,1,263,149,0.4334600760456274
ridge,2017-05,1,261,168,0.3563218390804598
ridge,2017-06,1,262,161,0.3854961832061069
ridge,2017-07,1,264,135,0.48863636363636365
ridge,2017-08,1,267,152,0.43071161048689144
ridge,2017-09,1,272,132,0.5147058823529411
ridge,2017-10,1,274,135,0.5072992700729927
ridge,2017-11,1,280,142,0.4928571428571429
ridge,2017-12,1,282,173,0.3865248226950354
ridge,2018-01,1,288,147,0.48958333333333337
ridge,2018-02,1,285,142,0.5017543859649123
ridge,2018-03,1,290,134,0.5379310344827586
ridge,2018-04,1,294,152,0.48299319727891155
ridge,2018-05,1,301,136,0.548172757475083
ridge,2018-06,1,305,160,0.47540983606557374
ridge,2018-07,1,309,184,0.40453074433656955
ridge,2018-08,1,317,180,0.43217665615141954
ridge,2018-09,1,323,164,0.49226006191950467
ridge,2018-10,1,327,166,0.4923547400611621
ridge,2018-11,1,334,140,0.5808383233532934
ridge,2018-12,1,336,150,0.5535714285714286
ridge,2019-01,1,338,180,0.4674556213017751
ridge,2019-02,1,340,143,0.5794117647058823
ridge,2019-03,1,341,140,0.5894428152492668
ridge,2019-04,1,342,128,0.6257309941520468
ridge,2019-05,1,337,147,0.5637982195845697
ridge,2019-06,1,338,153,0.5473372781065089
ridge,2019-07,1,338,143,0.5769230769230769
ridge,2019-08,1,339,161,0.5250737463126844
ridge,2019-09,1,339,152,0.551622418879056
ridge,2019-10,1,340,148,0.5647058823529412
ridge,2019-11,1,340,148,0.5647058823529412
ridge,2019-12,1,341,169,0.5043988269794721
ridge,2020-01,1,342,163,0.5233918128654971
ridge,2020-02,1,343,171,0.5014577259475219
ridge,2020-03,1,344,108,0.686046511627907
ridge,2020-04,1,345,169,0.5101449275362319
ridge,2020-05,1,340,150,0.5588235294117647
ridge,2020-06,1,341,141,0.5865102639296187
ridge,2020-07,1,343,129,0.6239067055393586
ridge,2020-08,1,344,131,0.6191860465116279
ridge,2020-09,1,345,130,0.6231884057971014
ridge,2020-10,1,346,198,0.4277456647398844
ridge,2020-11,1,349,157,0.5501432664756447
ridge,2020-12,1,352,137,0.6107954545454546
ridge,2021-01,1,354,166,0.5310734463276836
ridge,2021-02,1,356,160,0.550561797752809
ridge,2021-03,1,358,128,0.6424581005586592
ridge,2021-04,1,362,144,0.6022099447513812
ridge,2021-05,1,361,192,0.4681440443213296
ridge,2021-06,1,366,175,0.5218579234972678
ridge,2021-07,1,370,193,0.4783783783783784
ridge,2021-08,1,377,185,0.5092838196286472
ridge,2021-09,1,383,168,0.5613577023498695
ridge,2021-10,1,385,181,0.5298701298701298
ridge,2021-11,1,388,169,0.5644329896907216
ridge,2021-12,1,393,130,0.6692111959287532
ridge,2022-01,1,396,159,0.5984848484848485
ridge,2022-02,1,399,204,0.4887218045112782
ridge,2022-03,1,403,196,0.5136476426799008
ridge,2022-04,1,409,174,0.5745721271393642
ridge,2022-05,1,412,204,0.5048543689320388
ridge,2022-06,1,417,196,0.5299760191846523
ridge,2022-07,1,421,181,0.5700712589073634
ridge,2022-08,1,426,166,0.6103286384976525
ridge,2022-09,1,430,204,0.5255813953488372
