model,formation_month,holding_month,ic,n
lightgbm,2026-05,2026-06,-0.14960234955278687,4874
lightgbm,2026-06,2026-07,0.11696649743612422,4915
ridge,2013-01,2013-02,0.08274328454032176,2197
ridge,2013-02,2013-03,0.14519391624058783,2214
ridge,2013-03,2013-04,0.0558811739027047,2242
ridge,2013-04,2013-05,0.11597676222385452,2263
ridge,2013-05,2013-06,-0.07812872037923076,2302
ridge,2013-06,2013-07,0.07268104948674291,2304
ridge,2013-07,2013-08,0.27526423218628115,2330
ridge,2013-08,2013-09,0.08621633240973982,2342
ridge,2013-09,2013-10,0.23582364609991333,2345
ridge,2013-10,2013-11,0.22083841657788444,2354
ridge,2013-11,2013-12,0.2126178417719215,2344
ridge,2013-12,2014-01,0.08047765730021096,2353
ridge,2014-01,2014-02,0.2694970399038591,2350
ridge,2014-02,2014-03,0.2838582039148763,2324
ridge,2014-03,2014-04,0.07214238796949256,2347
ridge,2014-04,2014-05,0.1518617559198062,2322
ridge,2014-05,2014-06,0.16882182248372454,2286
ridge,2014-06,2014-07,0.17647504592563515,2296
ridge,2014-07,2014-08,0.3538124159376278,2298
ridge,2014-08,2014-09,0.3000283850485265,2293
ridge,2014-09,2014-10,0.08144084502621382,2299
ridge,2014-10,2014-11,0.01619482364888818,2267
ridge,2014-11,2014-12,-0.32030643359720473,2267
ridge,2014-12,2015-01,0.35591363631379136,2287
ridge,2015-01,2015-02,0.009241848358939079,2302
ridge,2015-02,2015-03,0.17578916613399437,2284
ridge,2015-03,2015-04,0.09220776427273078,2299
ridge,2015-04,2015-05,0.3419769267327999,2287
ridge,2015-05,2015-06,0.12943458618366616,2235
ridge,2015-06,2015-07,0.046261784615730626,2218
ridge,2015-07,2015-08,0.16681297792844416,2124
ridge,2015-08,2015-09,0.26881802985942393,2134
ridge,2015-09,2015-10,0.17200885314865919,2134
ridge,2015-10,2015-11,0.2906440436912249,2190
ridge,2015-11,2015-12,0.38645596234649116,2273
ridge,2015-12,2016-01,0.05124609034856952,2364
ridge,2016-01,2016-02,0.08364781665591445,2392
ridge,2016-02,2016-03,0.3162943552588693,2399
ridge,2016-03,2016-04,0.3221570770383869,2446
ridge,2016-04,2016-05,0.019964111920908616,2456
ridge,2016-05,2016-06,0.13861604849869857,2468
ridge,2016-06,2016-07,0.17835433351715577,2503
ridge,2016-07,2016-08,0.25187342710454025,2543
ridge,2016-08,2016-09,0.23202004564269713,2563
ridge,2016-09,2016-10,0.17508098551214077,2573
ridge,2016-10,2016-11,0.10848759184284879,2566
ridge,2016-11,2016-12,0.07562975737632578,2600
ridge,2016-12,2017-01,-0.1631826578162336,2619
ridge,2017-01,2017-02,0.10426193679218035,2617
ridge,2017-02,2017-03,-0.054100657110803765,2606
ridge,2017-03,2017-04,-0.20208794453664805,2632
ridge,2017-04,2017-05,-0.1654461390277207,2638
ridge,2017-05,2017-06,0.04481079698298447,2618
ridge,2017-06,2017-07,-0.12887018093397873,2622
ridge,2017-07,2017-08,0.263035185252083,2646
ridge,2017-08,2017-09,0.11348415805700063,2675
ridge,2017-09,2017-10,0.1284459248329193,2725
ridge,2017-10,2017-11,-0.12274584588265024,2748
ridge,2017-11,2017-12,-0.06528158416878328,2805
ridge,2017-12,2018-01,-0.05934755561994882,2824
ridge,2018-01,2018-02,-0.07632171380408896,2881
ridge,2018-02,2018-03,0.26572534888890664,2853
ridge,2018-03,2018-04,0.0633833820515365,2904
ridge,2018-04,2018-05,0.1335621820535875,2945
ridge,2018-05,2018-06,-0.1069177508124911,3010
ridge,2018-06,2018-07,0.21656169219472055,3057
ridge,2018-07,2018-08,-0.011271491786383415,3097
ridge,2018-08,2018-09,-0.03166050356886598,3172
ridge,2018-09,2018-10,0.12023488679893636,3231
ridge,2018-10,2018-11,0.32594117707375747,3276
ridge,2018-11,2018-12,0.13687343989600298,3340
ridge,2018-12,2019-01,0.028782396601131504,3369
ridge,2019-01,2019-02,0.030142875117109426,3389
ridge,2019-02,2019-03,0.15550652424881461,3400
ridge,2019-03,2019-04,0.17107289436715892,3410
ridge,2019-04,2019-05,0.2196921841661453,3424
ridge,2019-05,2019-06,0.08219115643984135,3377
ridge,2019-06,2019-07,0.07347378829373882,3382
ridge,2019-07,2019-08,-0.06945863990411608,3385
ridge,2019-08,2019-09,0.11942057839168818,3391
ridge,2019-09,2019-10,0.09136044582202575,3399
ridge,2019-10,2019-11,0.009138235924390519,3406
ridge,2019-11,2019-12,0.017514356664980912,3408
ridge,2019-12,2020-01,-0.01958908709038259,3416
ridge,2020-01,2020-02,-0.2142008599433305,3425
ridge,2020-02,2020-03,0.4423066374826793,3433
ridge,2020-03,2020-04,-0.005036405442199262,3444
ridge,2020-04,2020-05,0.16449131738669825,3457
ridge,2020-05,2020-06,-0.07319128310722152,3403
ridge,2020-06,2020-07,0.1344094679975752,3417
